kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0113005,Euplagia quadripunctaria,"Radotínské údolí - přírodní památky Cikánka I, Cikánka II a lom Špička",5951d,2022-07-28,2022-07-28
CZ0113005,Gentianella amarella,5952-3,NA,2001-09-05,2001-09-05
CZ0113005,Hipparchia semele,5951,NA,2003-07-24,2007-07-21
CZ0113005,Hipparchia semele,5952,NA,1995-01-01,2011-08-23
CZ0113005,Hipparchia semele,6051,NA,2007-08-04,2009-08-01
CZ0113005,Hipparchia semele,6052,NA,1995-01-01,2004-01-01
CZ0113005,Lucanus cervus,CZ0113005,"37,""6052a""",2015-04-01,2015-04-01
CZ0113005,Lutra lutra,CZ0113005,"45,""6052a""",2024-04-05,2024-04-05
CZ0113005,Myotis myotis,EVL Lochkovský profil,6051b,2015-05-21,2015-05-21
CZ0113773,Castor fiber,CZ0113773,5952a,2004-01-01,2004-01-01
CZ0113773,Chazara briseis,5952,NA,1995-01-01,1995-01-01
CZ0113773,Euplagia quadripunctaria,"Petřín, Praha",5952a,2020-08-12,2020-08-12
CZ0113773,Euplagia quadripunctaria,"Šermířská 3180/1C, 169 00 Praha 5-Smíchov, Tschechien",5952a,2018-06-30,2018-06-30
CZ0113773,Hipparchia semele,5952,NA,1995-01-01,2011-08-23
CZ0113773,Lucanus cervus,CZ0113773,5952a,2001-05-30,2025-06-04
CZ0113773,Myotis myotis,Malá Strana - 5952,5952a,1900-01-01,1900-01-01
CZ0113773,Myotis myotis,PP Petřín,5952a,2022-06-10,2022-06-10
CZ0113773,Scardinius erythrophthalmus,CZ0113773,5952a,2020-08-12,2023-06-09
CZ0114001,Austropotamobius torrentium,CZ0114001,5951d,2016-05-20,2016-05-20
CZ0114001,Austropotamobius torrentium,CZ0114001,6051b,2005-11-26,2017-09-11
CZ0114001,Austropotamobius torrentium,Raci152,6051b,2006-10-02,2006-10-02
CZ0114001,Barbastella barbastellus,PR Radotínské údolí 358,"39,""6051b""",2005-01-01,2005-01-01
CZ0114001,Barbastella barbastellus,Radotínské údolí,6051b,2012-07-18,2015-08-29
CZ0114001,Barbastella barbastellus,Zadní Kopanina,6051b,2018-08-28,2018-08-28
CZ0114001,Cottus gobio,CZ0114001,6051b,2005-11-26,2023-08-17
CZ0114001,Dracocephalum austriacum,114261 - Zadní Kopanina,6051b,2004-08-12,2004-08-12
CZ0114001,Dracocephalum austriacum,114270 - Zadní Kopanina,6051b,2003-06-26,2003-06-26
CZ0114001,Dracocephalum austriacum,13909968_,6051b,2018-06-02,2018-06-02
CZ0114001,Dracocephalum austriacum,13950716_,6051b,2020-06-05,2020-06-05
CZ0114001,Dracocephalum austriacum,DA7,6051b,2003-05-01,2003-05-01
CZ0114001,Dracocephalum austriacum,Daus007,6051b,2021-05-18,2025-05-06
CZ0114001,Dracocephalum austriacum,Ra 4,6051b,2023-05-31,2023-05-31
CZ0114001,Dracocephalum austriacum,Radotín.údolí (Daus8),6051b,2002-03-19,2002-03-19
CZ0114001,Dracocephalum austriacum,Radotínské údolí,6051b,2010-06-04,2020-05-07
CZ0114001,Dracocephalum austriacum,Zadní Kopanina,6051b,2021-05-14,2021-05-14
CZ0114001,Dracocephalum austriacum,Zadní Kopanina_27420120,6051b,2016-07-15,2016-07-15
CZ0114001,Dracocephalum austriacum,a0203ck_124110_13_T3.3D,6051b,2000-11-28,2000-11-28
CZ0114001,Euplagia quadripunctaria,155 00 Řeporyje,6051b,2020-08-23,2021-07-23
CZ0114001,Euplagia quadripunctaria,2508,5951d,2021-07-31,2021-07-31
CZ0114001,Euplagia quadripunctaria,2508,6051b,2021-07-31,2021-07-31
CZ0114001,Euplagia quadripunctaria,6051bb,6051b,2020-07-23,2020-08-17
CZ0114001,Euplagia quadripunctaria,EVL Radotínské údolí,6051b,2015-08-16,2015-08-16
CZ0114001,Euplagia quadripunctaria,MOTYLI1703,6051b,2023-07-18,2023-07-18
CZ0114001,Euplagia quadripunctaria,NPP Cikánka I.,5951d,2021-08-11,2021-08-11
CZ0114001,Euplagia quadripunctaria,PR Radotín. údolí 1,6051b,2004-07-30,2004-07-30
CZ0114001,Euplagia quadripunctaria,PR Radotín. údolí 2,"27,""6051b""",2004-07-30,2004-07-30
CZ0114001,Euplagia quadripunctaria,PR Radotínské údolí,5951d,2022-05-11,2025-08-15
CZ0114001,Euplagia quadripunctaria,PR Radotínské údolí,6051b,2015-08-16,2024-07-09
CZ0114001,Euplagia quadripunctaria,"Praha - Radotín, Cikánka",5951d,2018-08-04,2018-08-04
CZ0114001,Euplagia quadripunctaria,Praha 16,5951d,2020-08-23,2020-08-23
CZ0114001,Euplagia quadripunctaria,Praha-Zadní Kopanina,6051b,2009-08-01,2009-08-01
CZ0114001,Euplagia quadripunctaria,Radotínské údolí,"02,""6051b""",2004-07-30,2004-07-30
